DateTime,EC (mS),TP,SRP,Sample Number
4/15/21 16:00,1.254,600,120,SB-11-1
4/15/21 16:28,1.207,543,79.4,SB-11-2
4/15/21 16:38,1.2,526,82,SB-11-4
4/15/21 20:00,1.181,493,74,SB-11-5
4/15/21 21:08,1.154,521,66.7,SB-11-6
4/16/21 0:00,1.221,322,82.8,SB-11-7
4/16/21 0:58,1.171,465,70.3,SB-11-8
4/16/21 4:01,1.164,452,61.1,SB-11-9
4/16/21 6:04,1.088,630,79,SB-11-10
4/16/21 7:58,1.123,482,75.1,SB-11-11
4/16/21 10:09,1.132,489,90.2,SB-11-12
4/16/21 12:17,1.106,524,79,SB-11-13
4/16/21 14:28,1.037,424,77,SB-12-1
4/16/21 15:26,0.994,722,82.8,SB-12-2
4/16/21 16:09,0.93,682,101,SB-12-4
4/16/21 16:36,0.924,687,99.3,SB-12-5
4/16/21 17:03,0.934,814,102,SB-12-6
4/16/21 17:30,0.936,736,108,SB-12-7
4/16/21 17:59,0.945,691,102,SB-12-8
4/16/21 18:34,0.97,679,94.7,SB-12-9
4/16/21 19:20,1.001,606,101,SB-12-10
4/16/21 20:21,1.017,496,83.7,SB-12-11
4/16/21 21:26,0.978,660,90.1,SB-12-12
4/16/21 22:22,0.965,667,94.5,SB-12-13
4/16/21 23:15,0.975,532,91.7,SB-12-14
4/17/21 0:11,0.988,542,105,SB-12-15
4/17/21 1:13,1.009,534,87.4,SB-12-16
4/17/21 2:25,1.047,468,87.6,SB-12-17
4/17/21 3:57,1.097,399,64.7,SB-12-18
4/17/21 6:03,1.16,284,58.1,SB-12-19
4/17/21 13:38,1.315,137,46.3,SB-12-20
