DateTime,EC (mS),TP,SRP,Sample Number
11/30/20 15:41,0.931,727,178,NB-5-1
11/30/20 16:11,0.993,877,334,NB-5-2
11/30/20 16:41,1.019,689,214,NB-5-3
11/30/20 17:11,1.05,588,187,NB-5-4
11/30/20 17:41,1.067,430,126,NB-5-5
11/30/20 18:11,1.032,657,178,NB-5-6
11/30/20 18:41,1.067,712,202,NB-5-7
11/30/20 19:11,1.087,468,130,NB-5-8
11/30/20 19:41,1.097,400,94,NB-5-9
11/30/20 20:11,1.108,335,99,NB-5-10
11/30/20 21:17,1.068,451,139,NB-5-11
11/30/20 22:08,1.095,379,90.8,NB-5-12
11/30/20 22:58,0.991,521,155,NB-5-13
11/30/20 23:15,1.007,767,257,NB-5-14
11/30/20 23:28,1.02,810,294,NB-5-15
11/30/20 23:42,1.023,764,409,NB-5-16
11/30/20 23:54,1.019,923,361,NB-5-17
12/1/20 0:07,1.018,698,243,NB-5-18
12/1/20 0:20,1.013,660,227,NB-5-19
12/1/20 0:34,1.013,636,228,NB-5-20
12/1/20 0:51,1.008,616,234,NB-5-21
12/1/20 1:10,1.018,584,191,NB-5-22
12/1/20 1:32,1.032,1100,591,NB-5-23
12/1/20 1:56,1.029,542,191,NB-5-24
12/1/20 11:36,1.058,145,38.1,NB-5-G
