DateTime,EC (mS),TP,SRP,Sample Number
7/2/2021 10:26,1.879,320,70.7,SB-18-1
7/2/2021 12:04,1.161,320,81,SB-18-2
7/2/2021 12:55,1.084,309,84.9,SB-18-3
7/2/2021 13:39,1.033,267,97.3,SB-18-4
7/2/2021 14:21,1.071,,,SB-18-5
7/2/2021 15:06,1.115,,,SB-18-6
7/2/2021 16:46,1.171,191,70.5,SB-18-7
7/2/2021 17:40,1.268,161,66.6,SB-19-1
7/2/2021 19:02,1.253,131,53.2,SB-19-2
7/2/2021 19:57,1.004,285,101,SB-19-3
7/2/2021 20:40,1.058,,,SB-19-4
7/2/2021 21:25,1.117,,,SB-19-5
7/2/2021 22:13,1.185,171,72.5,SB-19-6
7/2/2021 23:14,1.232,,,SB-19-7
7/3/2021 1:06,1.294,147,54.9,SB-19-8
7/3/2021 4:33,1.376,143,48.3,SB-19-9
7/3/2021 11:27,1.434,94.9,53,SB-19-10
