DateTime,EC (mS),TP,SRP,Sample Number
4/29/21 19:26,1.349,713,135,SB-15-1
4/29/21 20:48,0.895,891,149,SB-15-2
4/29/21 21:41,0.854,886,154,SB-15-3
4/29/21 22:19,0.914,860,189,SB-15-4
4/29/21 23:11,0.994,694,123,SB-15-5
4/30/21 23:11,0.993,685,116,SB-15-6
4/30/21 0:29,0.986,684,137,SB-15-7
4/30/21 1:22,0.877,817,149,SB-15-8
4/30/21 1:56,0.843,900,159,SB-15-9
4/30/21 2:26,0.833,881,158,SB-15-10
4/30/21 2:54,0.809,893,173,SB-15-11
4/30/21 3:21,0.827,850,161,SB-15-12
4/30/21 3:49,0.848,783,140,SB-15-13
4/30/21 4:17,0.854,705,148,SB-15-14
4/30/21 4:47,0.836,724,158,SB-15-15
4/30/21 5:17,0.806,770,175,SB-15-16
4/30/21 5:46,0.795,770,176,SB-15-17
4/30/21 6:15,0.805,1120,175,SB-15-18
4/30/21 6:45,0.803,729,174,SB-15-19
4/30/21 16:00,1.156,206,46.8,SB-15-20
4/30/21 18:45,1.003,830,126,SB-16-1
4/30/21 21:12,1.036,639,103,SB-16-2
5/1/21 0:00,1.106,472,73.6,SB-16-3
5/1/21 2:54,1.038,696,98.2,SB-16-4
5/1/21 4:05,1.064,569,83.9,SB-16-5
5/1/21 5:54,1.102,436,68.1,SB-16-6
5/1/21 9:42,1.159,332,55.7,SB-16-7
5/1/21 14:47,1.234,176,34.7,SB-16-8
5/1/21 21:33,1.313,96.4,22.4,SB-16-9
5/2/21 7:33,1.423,53.9,16,SB-16-10
5/2/21 16:05,1.49,44.7,13.3,SB-16-11
