DateTime,EC (mS),TP,AHS Sample Number
11/9/2018 22:17,event,400,
11/9/2018 23:42,event,556,
11/10/2018 1:43,event,412,
11/10/2018 5:42,event,257,
11/10/2018 9:43,event,160,
11/10/2018 13:42,event,79.5,
11/10/2018 19:42,event,30.2,
