DateTime,EC (mS),TP,SRP,AHS Sample Number
3/26/20 12:20,0.71,465,137,550
3/26/20 15:20,0.828,332,95.9,552
3/26/20 18:20,1.032,233,62.7,553
3/26/20 21:20,1.134,174,42.2,554
3/27/20 0:20,1.13,123,35,555
3/27/20 3:20,1.205,93,31.5,556
3/27/20 6:20,1.221,63.6,25.1,557
