DateTime,EC (mS),TP,SRP,Sample Number
7/18/2021 1:03,0.982,258,61.4,NB-22-1
7/18/2021 2:48,0.657,544,169,NB-22-2
7/18/2021 3:34,0.613,590,179,NB-22-3
7/18/2021 4:00,0.612,653,224,NB-22-4
7/18/2021 4:23,0.64,,,NB-22-5
7/18/2021 4:48,0.665,605,208,NB-22-6
7/18/2021 5:18,0.689,,,NB-22-7
7/18/2021 5:59,0.712,,,NB-22-8
7/18/2021 6:48,0.699,559,183,NB-22-9
7/18/2021 7:38,0.7,,,NB-22-10
7/18/2021 8:23,0.601,624,216,NB-22-11
7/18/2021 8:46,0.569,,,NB-22-12
7/18/2021 9:08,0.579,712,294,NB-22-13
7/18/2021 9:30,0.559,,,NB-22-14
7/18/2021 9:51,0.546,,,NB-22-15
7/18/2021 10:12,0.52,902,319,NB-22-16
7/18/2021 10:32,0.531,,,NB-22-17
7/18/2021 10:53,0.555,797,304,NB-22-18
7/18/2021 19:48,0.807,281,74.4,NB-22-19
