DateTime,EC (mS),TP,AHS Sample Number
6/5/2019 9:01,bi-daily (3 of 6),114,
6/5/2019 20:36,event,237,
6/5/2019 21:01,,1175,
6/10/2019 8:55,grab,17.3,
