Date,Load
11/28/2019,130.3
12/10/2019,37.7
12/15/2019,21.4
12/30/2019,43.9
1/3/2020,10.8
1/12/2020,188.0
1/26/2020,27.6
3/3/2020,176.9
3/8/2020,45.8
3/13/2020,25.9
