Date,Site,Runoff..m3.ha.,TP.conc,TP.load,SRP.conc,SRP.load,Drainage.Area..ha.,Event.Volume..m3.
12/25/2020,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
12/25/2020,DCN-SUB,299.9,469.8,140.9,163.3,49,4.8,1439.4
1/17/2021,DCS-SUB,NA,NA,NA,NA,NA,8,NA
1/17/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
1/17/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
1/17/2021,DCN-SUB,43.7,172.8,7.6,46.4,2,4.8,209.8
3/11/2021,DCS-SUB,400.4,454,181.8,96.9,38.8,8,3202.9
3/11/2021,DCS-SUR,41.5,556.9,23.1,187.9,7.8,1,41.5
3/11/2021,DCN-SUR,7.1,703.7,5,324.8,2.3,0.7,5
3/11/2021,DCN-SUB,550.3,432.8,238.2,127,69.9,4.8,2641.2
4/16/2021,DCS-SUB,138.2,524.4,72.5,83.1,11.5,8,1105.4
4/16/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
4/16/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
4/16/2021,DCN-SUB,205.1,476.4,97.7,92.3,18.9,4.8,984.7
4/22/2021,DCS-SUB,61.8,300,18.5,53.5,3.3,8,494.6
4/22/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
4/22/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
4/22/2021,DCN-SUB,100.7,303.6,30.6,60.7,6.1,4.8,483.4
4/30/2021,DCS-SUB,206.2,588.7,121.4,111.7,23,8,1649.7
4/30/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
4/30/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
4/30/2021,DCN-SUB,297.2,598.1,177.7,133.7,39.7,4.8,1426.4
5/6/2021,DCS-SUB,133.8,852.5,114.1,132.2,17.7,8,1070.3
5/6/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
5/6/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
5/6/2021,DCN-SUB,208.5,797.6,166.3,164.1,34.2,4.8,1000.7
7/2/2021,DCS-SUB,157.6,144.4,22.8,50.1,7.9,8,1260.6
7/2/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
7/2/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
7/2/2021,DCN-SUB,179.6,122.1,21.9,49.1,8.8,4.8,862.1
7/3/2021,DCS-SUB,88.2,170.6,15.1,54,4.8,8,705.7
7/3/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
7/3/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
7/3/2021,DCN-SUB,83.6,110.1,9.2,42.5,3.6,4.8,401.1
7/9/2021,DCS-SUB,85.6,301.8,25.8,122.5,10.5,8,684.6
7/9/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
7/9/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
7/9/2021,DCN-SUB,89.4,328.8,29.4,131.9,11.8,4.8,429.1
7/13/2021,DCS-SUB,21,363.3,7.6,104.2,2.2,8,168.1
7/13/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
7/13/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
7/13/2021,DCN-SUB,24.6,498.5,12.3,194.5,4.8,4.8,118.1
7/14/2021,DCS-SUB,10.7,283.7,3,84.6,0.9,8,85.7
7/14/2021,DCS-SUR,NA,NA,NA,NA,NA,1,NA
7/14/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
