Date,Load
10/17/2019,180.4
10/27/2019,67.6
10/31/2019,201.5
11/28/2019,53.3
12/10/2019,12.1
12/15/2019,7.0
12/30/2019,21.2
1/3/2020,6.1
1/12/2020,79.7
1/26/2020,10.5
3/3/2020,84.2
3/8/2020,13.6
3/13/2020,14.4
