"","Year","Type","Annual_TP_load"
"1","2018","Baseflow",7.9
"2","2018","Event",334.1
"3","2019","Baseflow",52.3
"4","2019","Event",1541.6
"5","2020","Baseflow",53.8
"6","2020","Event",879.6
"7","2021","Baseflow",32.3
"8","2021","Event",1.8
