"","Year","Type","Annual_TP_load"
"1","2019","Baseflow",18.9
"2","2019","Event",233.3
"3","2020","Baseflow",79.1
"4","2020","Event",719.5
"5","2021","Baseflow",44.3
"6","2021","Event",770.7
