Date,Site,Runoff (m3/ha),TP conc,TP load,SRP conc,SRP load,Drainage Area (ha),Event Volume (m3)
4/16/2021,DCN-SUB,NA,476.3828,82.033,92.30204,16.491,4.8,984.672
4/22/2021,DCS-SUB,NA,299.9779,20.135,53.54577,4.382,8.0,494.64
4/22/2021,DCS-SUR,NA,NA,NA,NA,NA,1.0,#VALUE!
4/22/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,#VALUE!
4/22/2021,DCN-SUB,NA,303.6325,26.613,60.74892,5.677,4.8,483.408
4/30/2021,DCS-SUB,NA,588.6958,100.978,111.7224,19.035,8.0,1649.68
4/30/2021,DCS-SUR,NA,NA,NA,NA,NA,1.0,#VALUE!
4/30/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,#VALUE!
4/30/2021,DCN-SUB,NA,598.0517,134.803,133.6941,28.931,4.8,1426.416
5/6/2021,DCS-SUB,NA,852.4763,84.89,132.249,21.33,8.0,1070.32
5/6/2021,DCS-SUR,NA,NA,NA,NA,NA,1.0,#VALUE!
5/6/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,#VALUE!
5/6/2021,DCN-SUB,NA,797.5901,124.748,164.0919,33.143,4.8,1000.656
7/2/2021,DCS-SUB,NA,144.4174,29.551,50.10031,10.657,8.0,1260.56
7/2/2021,DCS-SUR,NA,NA,NA,NA,NA,1.0,#VALUE!
7/2/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,#VALUE!
7/2/2021,DCN-SUB,NA,122.0983,33.205,49.06324,13.49,4.8,862.128
7/3/2021,DCS-SUB,NA,170.6308,13.798,53.99452,7.146,8.0,705.68
7/3/2021,DCS-SUR,NA,NA,NA,NA,NA,1.0,#VALUE!
7/3/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,#VALUE!
7/3/2021,DCN-SUB,NA,110.0552,13.149,42.53422,5.186,4.8,401.088
7/9/2021,DCS-SUB,NA,301.7943,18.629,122.4605,8.13,8.0,684.64
7/9/2021,DCS-SUR,NA,NA,NA,NA,NA,1.0,#VALUE!
7/9/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,#VALUE!
7/9/2021,DCN-SUB,NA,328.8378,24.548,131.8701,9.52,4.8,429.072
7/13/2021,DCS-SUB,NA,363.3215,5.289,104.2271,1.695,8.0,168.08
7/13/2021,DCS-SUR,NA,NA,NA,NA,NA,1.0,#VALUE!
7/13/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,#VALUE!
7/13/2021,DCN-SUB,NA,498.4881,6.619,194.5459,2.799,4.8,118.08
7/14/2021,DCS-SUB,NA,283.7305,1.995,84.63534,0.733,8.0,85.68
7/14/2021,DCS-SUR,NA,NA,NA,NA,NA,1.0,#VALUE!
7/14/2021,DCN-SUR,NA,NA,NA,NA,NA,0.7,#VALUE!
7/14/2021,DCN-SUB,NA,104.9322,1.374,34.84238,0.625,4.8,76.032
7/18/2021,DCS-SUB,NA,314.0549,66.879,90.19412,20.834,8.0,1491.12
7/18/2021,DCS-SUR,#VALUE!,813,#VALUE!,212,#VALUE!,1.0,NA
7/18/2021,DCN-SUR,12.30769231,1270,15.6,720,8.9,0.7,8
7/18/2021,DCN-SUB,NA,327.5956,111.067,106.5802,38.575,4.8,1040.208
7/19/2021,DCS-SUB,NA,436.5709,24.968,NA,2.665,8.0,426.48
7/19/2021,DCS-SUR,0.648,1060,0.7,340,0.2,1.0,0.648
7/19/2021,DCN-SUR,1.387692308,1240,1.7,568,0.8,0.7,0.902
7/19/2021,DCN-SUB,NA,262.0668,20.738,NA,2.999,4.8,287.952
7/21/2021,DCS-SUB,NA,398.1281,41.919,129.9044,13.315,8.0,657.6
7/21/2021,DCS-SUR,8.73,1070,9.3,NA,#VALUE!,1.0,8.73
7/21/2021,DCN-SUR,10.72307692,1860,19.9,604,6.5,0.7,6.97
7/21/2021,DCN-SUB,NA,358.0191,48.904,118.2202,15.501,4.8,532.08
"Post thesis events, i.e. back to composite sampling",,,,,,,,
7/31/2021,DCS-SUB,9.9,312.0,3.1,62.2,waiting analysis,8.0,79.0
7/31/2021,DCS-SUR,,,,,,,
7/31/2021,DCN-SUR,,,,,,,
7/31/2021,DCN-SUB,13.8,251.0,3.5,84.7,waiting analysis,4.9,66.8
8/2/2021,DCS-SUB,112.3,598.0,67.2,105.0,waiting analysis,8.0,898.5
8/2/2021,DCS-SUR,10.3,NA,#VALUE!,NA,#VALUE!,1.0,10.3
8/2/2021,DCN-SUR,10.0,NA,#VALUE!,NA,#VALUE!,0.7,6.5
8/2/2021,DCN-SUB,153.2,831.0,127.3,152.0,waiting analysis,4.9,742.9
8/20/2021,DCS-SUB,141.1,348.0,49.1,92.6,waiting analysis,8.0,1128.9
8/20/2021,DCS-SUR,33.8,399.0,13.5,109.0,3.7,1.0,33.8
8/20/2021,DCN-SUR,3.0,819.0,2.5,378.0,1.2,0.7,2.0
8/20/2021,DCN-SUB,175.2,456.0,79.9,66.0,waiting analysis,4.9,849.8
9/9/2021,DCS-SUB,24.8,345.0,8.6,45.9,waiting analysis,8.0,198.3
9/9/2021,DCS-SUR,,,,,,,
9/9/2021,DCN-SUR,,,,,,,
9/9/2021,DCN-SUB,24.3,240.0,5.8,50.5,waiting analysis,4.9,117.8
9/24/2021,DCS-SUB,13.4,648.0,8.7,66.2,waiting analysis,8.0,107.1
9/24/2021,DCS-SUR,1.6,967.0,1.5,397.0,0.6,1.0,1.6
9/24/2021,DCN-SUR,1.9,4290.0,8.3,2240.0,4.3,0.7,1.3
9/24/2021,DCN-SUB,16.3,949.0,15.4,167.0,waiting analysis,4.9,78.8
10/17/2021,DCS-SUB,45.3,waiting analysis,waiting analysis,264.0,waiting analysis,8.0,362.7
10/17/2021,DCS-SUR,4.9,waiting analysis,#VALUE!,352.0,1.7,1.0,4.9
10/17/2021,DCN-SUR,0.7,waiting analysis,#VALUE!,1410.0,1.0,0.7,0.5
10/17/2021,DCN-SUB,50.0,waiting analysis,waiting analysis,412.0,waiting analysis,4.9,242.7
