DateTime,EC (mS),TP,AHS Sample Number
12/10/19 0:41,0.659,474,421
12/10/19 3:41,0.701,433,422
12/10/19 6:41,0.723,429,423
12/10/19 9:41,0.719,400,424
12/10/19 12:41,0.744,367,425
12/10/19 15:41,0.795,302,426
12/10/19 18:41,0.856,213,427
12/10/19 21:41,0.927,153.5,428
12/11/19 0:41,0.939,91.7,429
