DateTime,EC (mS),TP,SRP,Sample Number
5/11/20 17:22,1.1,1630,1286,SB-1-1
5/11/20 19:16,0.882,1460,744,SB-1-2
5/11/20 20:17,0.842,1320,835,SB-1-3
5/11/20 21:11,0.88,979,697,SB-1-4
5/11/20 22:16,0.926,845,576,SB-1-5
5/11/20 23:55,0.986,584,438,SB-1-6
5/12/20 2:46,1.087,363,259,SB-1-7
