DateTime,EC (mS),TP,AHS Sample Number
4/9/2019 14:49,event,238,
4/9/2019 15:01,event,444,
4/9/2019 18:01,daily,284,
4/9/2019 18:02,event,259,
4/9/2019 21:01,event,162,
4/10/2019 0:01,event,126,
4/10/2019 3:01,event,96.1,
4/10/2019 6:01,event,77.6,
4/11/2019 18:02,daily,13.6,
4/12/2019 11:10,daily,13.5,
4/14/2019 11:10,daily,17.8,
