DateTime,EC (mS),TP,AHS Sample Number
2/25/20 15:54,0.738,174,503
2/25/20 18:54,0.594,239,504
2/25/20 21:54,0.693,229,505
2/26/20 0:54,0.778,216,506
2/26/20 6:54,0.908,194,507
2/26/20 12:54,1.014,129,508
