DateTime,EC (mS),TP,AHS Sample Number
11/26/2018 12:33,event,85,
11/26/2018 12:54,event,86.9,
11/26/2018 13:23,event,88.2,
11/27/2018 10:58,daily composite,228,
11/28/2018 10:58,daily composite,129,
11/29/2018 10:58,daily composite,178,
11/30/2018 10:58,daily composite,175,
