DateTime,EC (mS),TP,AHS Sample Number
5/28/2019 5:27,bi-daily,123,
5/30/2019 5:27,bi-daily,156,
5/31/2019 5:27,bi-daily (3 of 6),25.2,
5/31/2019 8:52,grab,33.2,
6/2/2019 9:01,bi-daily,47.1,
