DateTime,EC (mS),TP,SRP,Sample Number
5/5/21 5:42,0.876,974,169,NB-17-1
5/5/21 9:35,0.614,719,152,NB-17-2
5/5/21 15:11,0.588,1090,287,NB-17-3
5/5/21 15:54,0.594,986,271,NB-17-4
5/5/21 16:23,0.573,1140,323,NB-17-5
5/5/21 17:06,0.567,1030,304,NB-17-6
5/5/21 17:51,0.565,937,293,NB-17-7
5/5/21 18:40,0.564,834,,NB-17-8
5/5/21 19:34,0.563,1150,281,NB-17-9
5/5/21 20:31,0.558,1140,273,NB-17-10
5/5/21 21:37,0.563,959,241,NB-17-11
5/5/21 23:01,0.567,816,,NB-17-12
5/6/21 0:58,0.58,594,,NB-17-13
5/6/21 3:57,0.586,396,119,NB-17-14
5/6/21 8:36,0.605,258,,NB-17-15
5/6/21 15:38,0.661,185,61.8,NB-17-16
