DateTime,EC (mS),TP,SRP,AHS Sample Number
1/16/21 13:18,1.404,61.2,35.1,AHS-4-1
1/16/21 13:48,1.305,105,61.4,AHS-4-2
1/16/21 14:18,1.17,124,92,AHS-4-3
1/16/21 14:48,1.057,157,101,AHS-4-4
1/16/21 15:18,1.013,141,105,AHS-4-5
1/16/21 15:48,1.004,142,99.8,AHS-4-6
1/16/21 16:18,1.015,150,101,AHS-4-7
1/16/21 16:48,1.03,146,107,AHS-4-8
1/16/21 17:18,1.047,135,96.6,AHS-4-9
1/16/21 17:48,1.061,151,94.2,AHS-4-10
1/17/21 17:11,1.38,66.9,32.7,AHS-4-11
1/18/21 14:00,1.43,43.5,18.2,AHS-4-G
