DateTime,EC (mS),TP,AHS Sample Number
6/29/2019 21:47,event,188,
6/29/2019 22:06,event,866,
6/29/2019 23:12,event,794,
6/30/2019 2:12,event,240,
6/30/2019 5:12,event,84.5,
6/30/2019 6:36,event,63.1,
6/30/2019 7:04,event,63.9,
7/2/2019 6:12,bi-daily,30.7,
